Time,190-AT1001-AirTemp,990-PC-1101A-H1,990-PC-1101B-H2,990-PC-1102-H1,990-PT-1104A (barg),990-PT-1104B (barg),990-PT-1104C (barg),990-PSHL-1100,990-LT-1131 (mm),990-LT-1132 (mm),990-LT-1133 (mm),990-LT-1134 (mm),990-LT-1135 (mm),990-PT-1109 (barg),190-ZSL-1102,190-ZSH-1102,190-ZSI-1102,190-ZT-1102 (%),990-PT-1129 (barg),190-ZSL-1101,190-ZSH-1101,190-ZSI-1101,190-ZT-1101 (%),
2020.04.01 01:07:00.019,,,,,,,,,,,,,,,,,,,175.58735656738,,,,,
2020.04.01 01:07:30.019,,,,,,174.86862182617,,,,,,,,,,,,,,,,,,
2020.04.01 01:08:52.020,,,,,175.04081726074,,,,,,,,,,,,,,,,,,,
2020.04.01 01:09:43.031,1.6000000238419,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 01:10:47.032,,,,,,,,,,,,,,174.42691040039,,,,,,,,,,
2020.04.01 01:11:13.032,,,,,,,,,,,,,,,,,,,175.65473937988,,,,,
2020.04.01 01:11:45.031,,,,,,,,,,,,,742.67260742188,,,,,,,,,,,
2020.04.01 01:13:29.041,,,,,,,175.1231842041,,,,,,,,,,,,,,,,,
2020.04.01 01:15:22.037,,,,,,,,,,,,,,174.49429321289,,,,,,,,,,
2020.04.01 01:15:46.073,,,,,,,,,,,,,,,,,,,175.71463012695,,,,,
2020.04.01 01:16:17.032,,,,,,174.90606689453,,,,,,,,,,,,,,,,,,
2020.04.01 01:17:43.046,,,,,175.09323120117,,,,,,,,,,,,,,,,,,,
2020.04.01 01:18:24.044,,,,,,,,,731.53881835938,,,,,,,,,,,,,,,
2020.04.01 01:20:01.020,,,,,,,,,,,,,,174.56167602539,,,,,,,,,,
2020.04.01 01:20:41.044,,,,,,,,,,,,,,,,,,,175.77452087402,,,,,
2020.04.01 01:20:42.055,,,,,,,175.16809082031,,,,,,,,,,,,,,,,,
2020.04.01 01:22:38.052,,,,,,174.95098876953,,,,,,,,,,,,,,,,,,
2020.04.01 01:23:39.057,,,,,,,,,,,,,742.74536132813,,,,,,,,,,,
2020.04.01 01:24:40.058,,,,,,,,,,,,,,174.6290435791,,,,,,,,,,
2020.04.01 01:26:05.061,,,,,,,,,,,,,,,,,,,175.84190368652,,,,,
2020.04.01 01:26:31.059,,,,,175.13066101074,,,,,,,,,,,,,,,,,,,
2020.04.01 01:28:43.069,1.5,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 01:29:34.058,,,,,,,175.20553588867,,,,,,,,,,,,,,,,,
2020.04.01 01:29:56.061,,,,,,,,,,,,,,174.70391845703,,,,,,,,,,
2020.04.01 01:31:20.065,,,,,,174.9884185791,,,,,,,,,,,,,,,,,,
2020.04.01 01:31:28.065,,,,,,,,,,,,,,,,,,,175.90179443359,,,,,
2020.04.01 01:35:01.077,,,,,175.16809082031,,,,,,,,,,,,,,,,,,,
2020.04.01 01:35:22.072,,,,,,,,,,,,,,174.7638092041,,,,,,,,,,
2020.04.01 01:36:13.077,1.3999999761581,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 01:36:42.071,,,,,,,175.24296569824,,,,,,,,,,,,,,,,,
2020.04.01 01:37:22.077,,,,,,,,,,,,,,,,,,,175.95420837402,,,,,
2020.04.01 01:37:43.089,1.5,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 01:40:13.083,,,,,,175.01835632324,,,,,,,,,,,,,,,,,,
2020.04.01 01:40:45.088,,,,,,,,,,,,,,174.8311920166,,,,,,,,,,
2020.04.01 01:41:48.086,,,,,,,,,,,,,,,,,,,175.99913024902,,,,,
2020.04.01 01:42:25.002,,,,,175.20553588867,,,,,,,,,,,,,,,,,,,
2020.04.01 01:44:58.007,,,,,,,175.27291870117,,,,,,,,,,,,,,,,,
2020.04.01 01:46:00.009,,,,,,,,,,,,,,,,,,,176.05902099609,,,,,
2020.04.01 01:46:58.012,,,,,,,,,,,,,,174.89108276367,,,,,,,,,,
2020.04.01 01:49:16.017,,,,,,175.0558013916,,,,,,,,,,,,,,,,,,
2020.04.01 01:52:05.019,,,,,,,,,,,,,,,,,,,176.11143493652,,,,,
2020.04.01 01:53:12.020,,,,,,,,,,,,,,174.93600463867,,,,,,,,,,
2020.04.01 01:53:41.023,,,,,175.23547363281,,,,,,,,,,,,,,,,,,,
2020.04.01 01:54:10.030,,,,,,,175.30285644531,,,,,,,,,,,,,,,,,
2020.04.01 01:56:18.034,,,,,,,,,,,,767.6328125,,,,,,,,,,,,
2020.04.01 01:57:13.032,1.3999999761581,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 01:58:43.039,,,,,,175.08573913574,,,,,,,,,,,,,,,,,,
2020.04.01 01:59:00.039,,,,,,,,,,,,,,174.95098876953,,,,,,,,,,
2020.04.01 02:00:29.038,,,,,,,,,,,,,,,,,,,176.14886474609,,,,,
2020.04.01 02:00:43.039,1.5,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:01:33.043,,,,,175.27291870117,,,,,,,,,,,,,,,,,,,
2020.04.01 02:01:43.045,1.3999999761581,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:02:07.039,,,,,,,,,,,,,,175.01835632324,,,,,,,,,,
2020.04.01 02:04:26.135,,,,,,,175.34028625488,,,,,,,,,,,,,,,,,
2020.04.01 02:09:17.146,,,,,,175.1231842041,,,,,,,,,,,,,,,,,,
