Time,190-AT1001-AirTemp (°C),990-PC-1106A-H1,990-PC-1106B-H2,990-PC-1107-H1,990-PT-1154A (barg),990-PT-1154B (barg),990-PT-1154C (barg),990-PSHL-1150,990-LT-1181 (mm),990-LT-1182 (mm),990-LT-1183 (mm),990-PT-1159 (barg),190-ZSL-1103,190-ZSH-1103,190-ZSI-1103,190-ZT-1103 (%),990-PT-1179 (barg),190-ZSL-1104,190-ZSH-1104,190-ZSI-1104,190-ZT-1104 (%),
2020.04.01 01:09:43.031,1.6000000238419,,,,,,,,,,,,,,,,,,,,,
2020.04.01 01:09:47.017,,,,,,,,,,,,,,,,,167.11981201172,,,,,
2020.04.01 01:10:01.033,,,,,,164.12510681152,,,,,,,,,,,,,,,,
2020.04.01 01:12:41.037,,,,,,,,,,,,,,,,,167.23960876465,,,,,
2020.04.01 01:13:46.041,,,,,164.23741149902,,,,,,,,,,,,,,,,,
2020.04.01 01:14:16.037,,,,,,,,,,,,,,,,,,,,,99.990051269531,
2020.04.01 01:15:43.031,,,,,,,,,,,,,,,,,167.35189819336,,,,,
2020.04.01 01:16:02.038,,,,,,164.16253662109,,,,,,,,,,,,,,,,
2020.04.01 01:17:24.034,,,,,,,164.00531005859,,,,,,,,,,,,,,,
2020.04.01 01:18:24.044,,,,,,,,,,,,,,,,,167.48666381836,,,,,
2020.04.01 01:18:51.043,,,,,,,,,,,,158.86938476563,,,,,,,,,,
2020.04.01 01:21:32.052,,,,,,,,,,,,,,,,,167.60646057129,,,,,
2020.04.01 01:21:45.043,,,,,164.27484130859,,,,,,,,,,,,,,,,,
2020.04.01 01:22:47.057,,,,,,164.20745849609,,,,,,,,,,,,,,,,
2020.04.01 01:24:29.061,,,,,,,,,,,,,,,,,167.72624206543,,,,,
2020.04.01 01:25:25.057,,,,,,,164.04275512695,,,,,,,,,,,,,,,
2020.04.01 01:26:33.065,,,,,164.31227111816,,,,,,,,,,,,,,,,,
2020.04.01 01:27:30.065,,,,,,,,,,,,,,,,,167.83854675293,,,,,
2020.04.01 01:28:43.069,1.5,,,,,,,,,,,,,,,,,,,,,
2020.04.01 01:30:00.056,,,,,,164.24488830566,,,,,,,,,,,,,,,,
2020.04.01 01:30:26.073,,,,,,,,,,,,,,,,,167.943359375,,,,,
2020.04.01 01:31:28.065,,,,,,,,,,,720.33227539063,,,,,,,,,,,
2020.04.01 01:32:33.072,,,,,,,164.08018493652,,,,,,,,,,,,,,,
2020.04.01 01:33:12.073,,,,,,,,,,,,158.87687683106,,,,,,,,,,
2020.04.01 01:33:15.067,,,,,,,,,,,,,,,,,168.04817199707,,,,,
2020.04.01 01:34:06.074,,,,,164.34222412109,,,,,,,,,,,,,,,,,
2020.04.01 01:36:13.077,1.3999999761581,,,,,,,,,,,,,,,,,,,,,
2020.04.01 01:36:15.077,,,,,,,,,,,,,,,,,168.15298461914,,,,,
2020.04.01 01:36:29.086,,,,,,,,,,,720.47778320313,,,,,,,,,,,
2020.04.01 01:37:43.089,1.5,,,,,,,,,,,,,,,,,,,,,
2020.04.01 01:38:45.090,,,,,,164.28231811523,,,,,,,,,,,,,,,,
2020.04.01 01:39:41.089,,,,,,,,,,,,,,,,,168.24282836914,,,,,
2020.04.01 01:40:41.083,,,,,164.37965393066,,,,,,,,,,,,,,,,,
2020.04.01 01:40:44.079,,,,,,,,,,,,,,,,,,,,,99.986434936523,
2020.04.01 01:40:53.089,,,,,,,164.11012268066,,,,,,,,,,,,,,,
2020.04.01 01:42:42.087,,,,,,,,,,728.84631347656,,,,,,,,,,,,
2020.04.01 01:42:58.007,,,,,,,,,,,,,,,,,168.32518005371,,,,,
2020.04.01 01:46:00.009,,,,,,,,,,,,,,,,,168.42251586914,,,,,
2020.04.01 01:46:06.010,,,,,,,,,,,,158.84692382813,,,,,,,,,,
2020.04.01 01:48:13.013,,,,,,,164.14756774902,,,,,,,,,,,,,,,
2020.04.01 01:48:20.097,,,,,,164.31976318359,,,,,,,,,,,,,,,,
2020.04.01 01:49:25.102,,,,,,,,,,,,,,,,,168.51235961914,,,,,
2020.04.01 01:50:46.018,,,,,164.41708374023,,,,,,,,,,,,,,,,,
2020.04.01 01:52:39.024,,,,,,,,,,,,,,,,,168.58721923828,,,,,
2020.04.01 01:55:53.118,,,,,,,,,,,,,,,,,168.68455505371,,,,,
2020.04.01 01:57:13.032,1.3999999761581,,,,,,,,,,,,,,,,,,,,,
2020.04.01 01:57:35.034,,,,,,164.34970092773,,,,,,,,,,,,,,,,
2020.04.01 01:59:00.039,,,,,,,164.19248962402,,,,,,,,,,,,,,,
2020.04.01 01:59:52.041,,,,,,,,,,,,158.81698608398,,,,,,,,,,
2020.04.01 01:59:57.126,,,,,,,,,,,,,,,,,168.75941467285,,,,,
2020.04.01 02:00:43.039,1.5,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:01:10.123,,,,,164.44703674316,,,,,,,,,,,,,,,,,
2020.04.01 02:01:43.045,1.3999999761581,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:03:41.051,,,,,,,,,,,,,,,,,168.84176635742,,,,,
2020.04.01 02:08:04.051,,,,,,,,,,,,158.76457214356,,,,,,,,,,
2020.04.01 02:08:07.085,,,,,,164.37965393066,,,,,,,,,,,,,,,,
