Time,190-AT2001-AirTemp_(C),990-PC-2301A-H1,990-PC-2301B-H2,990-PC-2302-H1,990-PT-2304A_(barg),990-PT-2304B_(barg),990-PT-2304C_(barg),990-PSHL-2300,990-LT-2331_(mm),990-LT-2332_(mm),990-LT-2333_(mm),990-LT-2334_(mm),990-LT-2335_(mm),990-PT-2309_(barg),190-ZSL-2201,190-ZSH-2201,190-ZSI-2201,190-ZT-2201_(%),990-PT-2329_(barg)
2020.04.01 00:02:36.071,,0,0,,,,,0,,,,,,,,1,0,,164.6195526
2020.04.01 00:02:54.064,,,,,170.0899658,,,,,,,,,,,,,,
2020.04.01 00:05:10.088,,,,,,,170.3087769,,,,,,,,,,,,
2020.04.01 00:07:48.087,,,,,,170.3286743,,,,,,,,,,,,,
2020.04.01 00:08:47.005,,,,,170.0302887,,,,,,,,,,,,,,
2020.04.01 00:10:14.090,,,,,,,,,,,,,,169.8512573,,,,,
2020.04.01 00:10:40.094,,,,,,,,,670.4847412,,,,,,,,,,
2020.04.01 00:10:56.090,,,,,,,170.2590485,,,,,,,,,,,,
2020.04.01 00:11:22.009,,,,,,,,,,,,,,,,,,,164.5698242
2020.04.01 00:12:40.095,1.600000024,,,,,,,,,,,,,,,,,,
2020.04.01 00:12:42.091,,,,,,,,,,,,,649.5269775,,,,,,
2020.04.01 00:17:15.092,,,,,,170.2988434,,,,,,,,,,,,,
2020.04.01 00:17:22.009,,,,,,,,,,,,,,169.8015289,,,,,
2020.04.01 00:19:40.014,1.700000048,,,,,,,,,,,,,,,,,,
2020.04.01 00:20:49.010,,,,,,,170.1993713,,,,,,,,,,,,
2020.04.01 00:21:29.015,,,,,,,,,,,,,,169.7319031,,,,,
2020.04.01 00:22:19.003,,,,,,,,,,,,,,,,,,,164.5399933
2020.04.01 00:24:03.010,,,,,169.990509,170.2590485,,,,,,,,,,,,,
2020.04.01 00:25:47.026,,,,,,,,,,,,,,169.6622772,,,,,
2020.04.01 00:26:10.014,1.600000024,,,,,,,,,,,,,,,,,,
2020.04.01 00:27:10.014,1.700000048,,,,,,,,,,,,,,,,,,
2020.04.01 00:28:55.014,,,,,,,,,,,,,,,,,,,164.4902496
2020.04.01 00:29:30.017,,,,,169.9507141,,,,,,,,,,,,,,
2020.04.01 00:29:40.015,1.600000024,,,,,,,,,,,,,,,,,,
2020.04.01 00:30:10.004,,,,,,,,,670.4119873,,,,,,,,,,
2020.04.01 00:30:40.023,1.700000048,,,,,,,,,,,,,,,,,,
2020.04.01 00:33:09.021,,,,,,170.2093201,,,,,,,,,,,,,
2020.04.01 00:34:10.026,1.600000024,,,,,,,,,,,,,,,,,,
2020.04.01 00:34:15.022,,,,,,,170.1595917,,,,,,,,,,,,
2020.04.01 00:38:20.033,,,,,169.9109344,,,,,,,,,,,,,,
2020.04.01 00:38:59.046,,,,,,,,,,,,,,169.5926514,,,,,
2020.04.01 00:39:04.026,,,,,,,,,,,,,,,,,,,164.4405212
2020.04.01 00:39:59.036,,,,,,,,,670.3392334,,,,,,,,,,
2020.04.01 00:40:49.047,,,,,,,170.1297455,,,,,,,,,,,,
2020.04.01 00:42:55.038,,,,,,170.1794891,,,,,,,,,,,,,
2020.04.01 00:43:10.030,1.700000048,,,,,,,,,,,,,,,,,,
2020.04.01 00:46:53.039,,,,,169.8811035,,,,,,,,,,,,,,
2020.04.01 00:47:35.046,,,,,,,170.0999146,,,,,,,,,,,,
2020.04.01 00:47:48.046,,,,,,,,,,,,,649.3814697,,,,,,
2020.04.01 00:48:41.027,,,,,,170.1496429,,,,,,,,,,,,,
2020.04.01 00:49:40.044,1.600000024,,,,,,,,,,,,,,,,,,
2020.04.01 00:52:10.048,1.700000048,,,,,,,,,,,,,,,,,,
2020.04.01 00:52:29.046,,,,,,,,,,,,,,,,,,,164.420639
2020.04.01 00:52:37.035,,,,,,,,,670.2664795,,,,,,,,,,
2020.04.01 00:54:39.044,,,,,169.8313599,,,,,,,,,,,,,,
2020.04.01 00:55:31.047,,,,,,,170.0402374,,,,,,,,,,,,
2020.04.01 00:55:47.045,,,,,,,,,,,,,,169.6324463,,,,,
2020.04.01 00:56:23.059,,,,,,170.1098633,,,,,,,,,,,,,
2020.04.01 00:58:11.044,1.799999952,,,,,,,,,,,,,,,,,,
2020.04.01 01:01:40.061,1.899999976,,,,,,,,,,,,,,,,,,
2020.04.01 01:01:43.059,,,,,,,,,,,,,,,,,,100.0479202,
2020.04.01 01:02:38.058,,,,,,,,,,,,,,,,,,,164.3708954
2020.04.01 01:03:16.060,,,,,,,,,670.1209717,,,,,,,,,,
2020.04.01 01:06:05.060,,,,,,170.0800171,,,,,,,,,,,,,
2020.04.01 01:06:10.042,,,,,169.7915802,,,,,,,,,,,,,,
2020.04.01 01:06:49.076,,,,,,,,,,,,,,169.5528717,,,,,
2020.04.01 01:07:56.068,,,,,,,,,,,,,649.3087158,,,,,,
2020.04.01 01:09:05.069,,,,,,,170.0103912,,,,,,,,,,,,
2020.04.01 01:10:40.067,1.799999952,,,,,,,,,,,,,,,,,,
2020.04.01 01:12:12.068,,,,,,,,,,,,,,169.5031433,,,,,
2020.04.01 01:13:53.073,,,,,,,,,,,,,,,,,,,164.321167
2020.04.01 01:14:00.077,,,,,,170.0501862,,,,,,,,,,,,,
2020.04.01 01:17:53.087,,,,,169.7418518,,,,,,,,,,,,,,
2020.04.01 01:18:30.062,,,,,,,169.9805603,,,,,,,,,,,,
2020.04.01 01:23:54.071,,,,,,170.0103912,,,,,,,,,,,,,
2020.04.01 01:24:10.083,1.899999976,,,,,,,,,,,,,,,,,,
2020.04.01 01:26:04.074,,,,,,,,,670.0482178,,,,,,,,,,
2020.04.01 01:26:11.055,,,,,,,,,,,,,649.2359619,,,,,,
2020.04.01 01:27:46.092,,,,,,,169.9308319,,,,,,,,,,,,
2020.04.01 01:31:59.089,,,,,,,,,,,,,,,,,,,164.2813873
2020.04.01 01:33:40.090,1.799999952,,,,,,,,,,,,,,,,,,
2020.04.01 01:33:53.094,,,,,169.7020721,,,,,,,,,,,,,,
2020.04.01 01:34:04.059,,,,,,169.9606628,,,,,,,,,,,,,
2020.04.01 01:40:36.091,,,,,,,169.891037,,,,,,,,,,,,
2020.04.01 01:41:06.006,,,,,,,,,,,,,,,,,,100.0443039,
2020.04.01 01:42:53.008,,,,,,,,,,,,,,,,,,,164.2416077
2020.04.01 01:43:37.022,,,,,,,,,,,,,,169.4335175,,,,,
2020.04.01 01:43:56.016,,,,,169.6821747,,,,,,,,,,,,,,
2020.04.01 01:44:41.004,,,,,,,,,669.9753418,,,,,,,,,,
2020.04.01 01:47:37.002,,,,,,,,,,,,,649.163208,,,,,,
2020.04.01 01:48:56.023,,,,,,169.9308319,,,,,,,,,,,,,
2020.04.01 01:52:22.011,,,,,169.6523285,,,,,,,,,,,,,,
2020.04.01 01:53:16.020,,,,,,,,,,,,,,,,,,,164.2117615
2020.04.01 01:54:34.020,,,,,,,169.8413086,,,,,,,,,,,,
2020.04.01 01:57:00.030,,,,,,169.9009857,,,,,,,,,,,,,
2020.04.01 02:00:10.027,1.899999976,,,,,,,,,,,,,,,,,,
2020.04.01 02:00:16.018,,,,,169.6125488,,,,,,,,,,,,,,
