Time,190-AT1001-AirTemp_(C),990-PC-1101A-H1,990-PC-1101B-H2,990-PC-1102-H1,990-PT-1104A_(barg),990-PT-1104B_(barg),990-PT-1104C_(barg),990-PSHL-1100,990-LT-1131_(mm),990-LT-1132_(mm),990-LT-1133_(mm),990-LT-1134_(mm),990-LT-1135_(mm),990-PT-1109_(barg),190-ZSL-1102,190-ZSH-1102,190-ZSI-1102,190-ZT-1102_(%),990-PT-1129_(barg),190-ZSL-1101,190-ZSH-1101,190-ZSI-1101,190-ZT-1101_(%)
2020.04.01 00:02:55.081,,FALSE,FALSE,,,,,FALSE,,,,,,,TRUE,TRUE,FALSE,99.96835327,,TRUE,TRUE,FALSE,
2020.04.01 00:04:54.013,,,,,,,,,,,,,,,,,,,174.9884186,,,,
2020.04.01 00:05:10.082,,,,,174.7039185,,,,,,,,,,,,,,,,,,
2020.04.01 00:07:19.096,,,,,,,,,731.5388184,,,,,,,,,,,,,,
2020.04.01 00:07:43.097,0.600000024,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:09:51.003,,,,,,,,,,,,,,173.6782227,,,,,,,,,
2020.04.01 00:10:38.008,,,,,,,,,,,,,742.7453613,,,,,,,,,,
2020.04.01 00:12:15.008,,,,,,,,,,,786.7712402,,,,,,,,,,,,
2020.04.01 00:13:57.015,,,,,,,,,,,,,,,,,,,174.9509888,,,,
2020.04.01 00:14:04.022,,,,,,174.5691528,,,,,,,,,,,,,,,,,
2020.04.01 00:14:13.007,0.699999988,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:14:36.010,,,,,174.7263794,,,,,,,,,,,,,,,,,,
2020.04.01 00:15:01.032,,,,,,,174.7787781,,,,,,,,,,,,,,,,
2020.04.01 00:19:43.023,0.800000012,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:20:13.021,,,,,,,,,,,,,,,,,,,174.9884186,,,,
2020.04.01 00:23:06.033,,,,,,,,,,,,,,173.7156677,,,,,,,,,
2020.04.01 00:24:13.036,0.899999976,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:25:49.029,,,,,,,174.8237,,,,,,,,,,,,,,,,
2020.04.01 00:26:22.039,,,,,174.7563324,,,,,,,,,,,,,,,,,,
2020.04.01 00:26:43.043,1,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:26:57.041,,,,,,,,,,,,,,,,,,,175.0483093,,,,
2020.04.01 00:27:29.033,,,,,,,,,,,,,,173.7830505,,,,,,,,,
2020.04.01 00:29:36.044,,,,,,,,,731.4660645,,,,,,,,,,,,,,
2020.04.01 00:30:13.040,1.100000024,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:31:00.033,,,,,,174.6065826,,,,,,,,,,,,,,,,,
2020.04.01 00:31:50.043,,,,,,,,,,,,,,,,,,,175.1156921,,,,
2020.04.01 00:32:13.034,1.200000048,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:32:27.028,,,,,,,,,,,786.8439941,,,,,,,,,,,,
2020.04.01 00:32:39.027,,,,,,,,,,,,,,173.8504181,,,,,,,,,
2020.04.01 00:34:28.031,,,,,,,,,,,,,742.6726074,,,,,,,,,,
