Time,190-AT2001-AirTemp_(C),990-PC-2101A-H1,990-PC-2101B-H2,990-PC-2102-H1,990-PT-2104A_(barg),990-PT-2104B_(barg),990-PT-2104C_(barg),990-PSHL-2100,990-LT-2131_(mm),990-LT-2132_(mm),990-LT-2133_(mm),990-LT-2134_(mm),990-LT-2135_(mm),990-PT-2109_(barg),190-ZSL-2101,190-ZSH-2101,190-ZSI-2101,190-ZT-2101_(%),990-PT-2129_(barg)
2020.04.01 00:00:37.080,,FALSE,FALSE,,,,,FALSE,,,,,,169.4832458,,TRUE,FALSE,,
2020.04.01 00:00:49.076,,,,,,,,,,,,,,,,,,100.6302261,
2020.04.01 00:05:16.082,,,,,,,,,,698.8651123,,,,,,,,,
2020.04.01 00:06:25.000,,,,,,,,,,,,,,,,,,100.6483154,
2020.04.01 00:08:53.092,,,,,,,,,,,,,,169.5926514,,,,,
2020.04.01 00:09:40.084,,,,,,174.3171082,,,,,,,,,,,,,
2020.04.01 00:11:34.096,,,,,,,,,,,,,,,,,,,169.3340607
2020.04.01 00:11:42.077,,,,,,,,,,,,,,169.6921234,,,,,
2020.04.01 00:12:22.096,,,,,,,174.4662933,,,,,,,,,,,,
2020.04.01 00:12:40.095,1.600000024,,,,,,,,,,,,,,,,,,
2020.04.01 00:13:54.096,,,,,174.5856476,,,,,,,,,,,,,,
2020.04.01 00:15:06.034,,,,,,,,,,,,,,,,,,,169.2644348
2020.04.01 00:15:39.088,,,,,,,,,,,,691.2242432,,,,,,,
2020.04.01 00:17:40.017,,,,,,,,,,,,,,169.7418518,,,,,
2020.04.01 00:19:40.014,1.700000048,,,,,,,,,,,,,,,,,,
2020.04.01 00:20:16.010,,,,,,174.287262,,,,,,,,,,,,,
2020.04.01 00:20:41.002,,,,,,,,,,699.0106201,,,,,,,,,
2020.04.01 00:21:47.004,,,,,,,,,,,,,,169.7816315,,,,,
2020.04.01 00:24:07.006,,,,,,,,,,,685.6209717,,,,,,,,
2020.04.01 00:26:03.026,,,,,,,,,,698.8651123,,,,,,,,,
2020.04.01 00:26:10.014,1.600000024,,,,,,,,,,,,,,,,,,
2020.04.01 00:26:17.017,,,,,,,,,,,,,,169.6921234,,,,,
2020.04.01 00:26:22.021,,,,,,,,,,,,691.1514893,,,,,,,
2020.04.01 00:26:49.014,,,,,,,,,,,,,,,,,,100.6302261,
2020.04.01 00:27:10.014,1.700000048,,,,,,,,,,,,,,,,,,
2020.04.01 00:29:17.016,,,,,,,174.4364624,,,,,,,,,,,,
2020.04.01 00:29:40.015,1.600000024,,,,,,,,,,,,,,,,,,
2020.04.01 00:30:40.023,1.700000048,,,,,,,,,,,,,,,,,,
2020.04.01 00:31:22.018,,,,,,,,,,,,,691.8791504,,,,,,
2020.04.01 00:33:17.022,,,,,,,,,,,,,,,,,,100.6483154,
2020.04.01 00:33:20.020,,,,,,,,,,,,,,169.6324463,,,,,
2020.04.01 00:34:10.026,1.600000024,,,,,,,,,,,,,,,,,,
2020.04.01 00:34:55.021,,,,,174.5657501,,,,,,,,,,,,,,
2020.04.01 00:35:11.030,,,,,,,,,659.2054443,,,,,,,,,,
2020.04.01 00:36:54.022,,,,,,,,,,,,,,169.5528717,,,,,
2020.04.01 00:39:25.031,,,,,,174.2673645,,,,,,,,,,,,,
2020.04.01 00:40:08.033,,,,,,,,,,,,,,169.4633636,,,,,
2020.04.01 00:41:40.033,,,,,,,,,,,,,691.9519043,,,,,,
2020.04.01 00:43:10.030,1.700000048,,,,,,,,,,,,,,,,,,
2020.04.01 00:43:44.036,,,,,,,,,,,,,,,,,,,169.2544861
2020.04.01 00:44:20.035,,,,,,,,,,,,,,169.3837891,,,,,
2020.04.01 00:44:28.050,,,,,,,,,659.3509521,,,,,,,,,,
2020.04.01 00:47:19.049,,,,,,,,,,699.0106201,,,,,,,,,
2020.04.01 00:48:59.017,,,,,,,,,659.2054443,,,,,,,,,,
2020.04.01 00:49:40.044,1.600000024,,,,,,,,,,,,,,,,,,
2020.04.01 00:51:08.024,,,,,,,174.4066162,,,,,,,,,,,,
2020.04.01 00:52:10.048,1.700000048,,,,,,,,,,,,,,,,,,
2020.04.01 00:52:44.048,,,,,174.5359192,,,,,,,,,,,,,,
2020.04.01 00:53:22.055,,,,,,,,,,698.8651123,,,,,,,,,
2020.04.01 00:53:46.058,,,,,,,,,,,,,,,,,,100.6302261,
2020.04.01 00:56:03.054,,,,,,,,,,,,,,169.5329742,,,,,
2020.04.01 00:56:32.034,,,,,,174.2375336,,,,,,,,,,,,,
2020.04.01 00:58:11.044,1.799999952,,,,,,,,,,,,,,,,,,
2020.04.01 00:59:59.029,,,,,,,,,,,,,,169.6324463,,,,,
2020.04.01 01:00:03.048,,,,,,,,,,,,,,,,,,100.6446991,
2020.04.01 01:01:40.061,1.899999976,,,,,,,,,,,,,,,,,,
2020.04.01 01:02:31.046,,,,,,,,,,699.0106201,,,,,,,,,
2020.04.01 01:02:54.063,,,,,,,,,,,,,,169.7319031,,,,,
2020.04.01 01:05:01.013,,,,,,,,,,,,,691.8791504,,,,,,
2020.04.01 01:10:40.067,1.799999952,,,,,,,,,,,,,,,,,,
2020.04.01 01:11:07.064,,,,,,,,,,,,,,169.6622772,,,,,
2020.04.01 01:11:54.070,,,,,,,,,,698.8651123,,,,,,,,,
2020.04.01 01:14:07.072,,,,,174.5160217,,,,,,,,,,,,,,
2020.04.01 01:14:15.069,,,,,,,,,,,,691.2242432,,,,,,,
2020.04.01 01:15:23.088,,,,,,,,,,,,,691.9519043,,,,,,
2020.04.01 01:16:16.078,,,,,,,,,,,,,,169.6125488,,,,,
2020.04.01 01:20:50.080,,,,,,,174.3867188,,,,,,,,,,,,
2020.04.01 01:23:11.074,,,,,,,,,,699.0106201,,,,,,,,,
2020.04.01 01:23:42.072,,,,,,174.2076874,,,,,,,,,,,,,
2020.04.01 01:24:10.083,1.899999976,,,,,,,,,,,,,,,,,,
2020.04.01 01:24:20.089,,,,,,,,,,,,691.1514893,,,,,,,
2020.04.01 01:25:17.088,,,,,,,,,,,,,,169.6622772,,,,,
2020.04.01 01:27:15.086,,,,,,,,,,,685.5482178,,,,,,,,
2020.04.01 01:28:45.095,,,,,,,,,,,,,691.8791504,,,,,,
2020.04.01 01:30:04.010,,,,,,,,,,698.8651123,,,,,,,,,
2020.04.01 01:30:11.089,,,,,,,,,,,,,,169.7418518,,,,,
2020.04.01 01:31:40.091,,,,,174.4861908,,,,,,,,,,,,,,
2020.04.01 01:33:12.097,,,,,,,174.3668365,,,,,,,,,,,,
2020.04.01 01:33:40.090,1.799999952,,,,,,,,,,,,,,,,,,
2020.04.01 01:35:00.004,,,,,,,,,,,,,,169.8015289,,,,,
2020.04.01 01:36:07.085,,,,,,,,,,,,,,,,,,,169.2942657
2020.04.01 01:38:41.004,,,,,,,,,,,,,,169.8811035,,,,,
2020.04.01 01:39:21.011,,,,,,,,,,699.0106201,,,,,,,,,
2020.04.01 01:45:19.000,,,,,,,,,,,,,,169.9308319,,,,,
2020.04.01 01:47:02.015,,,,,,,,,,698.8651123,,,,,,,,,
2020.04.01 01:48:34.012,,,,,,174.1878052,,,,,,,,,,,,,
2020.04.01 01:52:47.082,,,,,,,,,,,,,,,,,,,169.3141632
2020.04.01 01:54:00.018,,,,,,,,,,,,,,169.8811035,,,,,
2020.04.01 01:54:20.018,,,,,,,174.3369904,,,,,,,,,,,,
2020.04.01 01:54:48.032,,,,,,,,,659.1326904,,,,,,,,,,
2020.04.01 01:56:18.014,,,,,,,,,,699.0106201,,,,,,,,,
2020.04.01 01:56:35.033,,,,,174.4662933,,,,,,,,,,,,,,
2020.04.01 01:59:13.023,,,,,,,,,,,,,,169.9407806,,,,,
2020.04.01 02:00:10.027,1.899999976,,,,,,,,,,,,,,,,,,
2020.04.01 02:03:08.021,,,,,,174.1778564,,,,,,,,,,,,,
2020.04.01 02:03:17.027,,,,,,,,,,,,,,170.0103912,,,,,
2020.04.01 02:04:18.032,,,,,,,,,,698.8651123,,,,,,,,,
2020.04.01 02:05:11.026,,,,,,,,,,,,,,,,,,,169.3440094
2020.04.01 02:05:40.029,2,,,,,,,,,,,,,,,,,,
2020.04.01 02:07:02.052,,,,,,,,,,,,,,170.0999146,,,,,
2020.04.01 02:07:32.040,,,,,,,,,,,,691.2242432,,,,,,,
2020.04.01 02:10:31.028,,,,,,,,,,,,,,170.1993713,,,,,
2020.04.01 02:13:14.036,,,,,,,,,,699.0106201,,,,,,,,,
2020.04.01 02:14:15.059,,,,,,,,,,,,,,170.2888947,,,,,
2020.04.01 02:14:59.040,,,,,,,,,,,,,,,,,,100.6302261,
2020.04.01 02:15:06.053,,,,,,,,,,,,,,,,,,,169.3837891
2020.04.01 02:15:51.052,,,,,,174.1679077,,,,,,,,,,,,,
2020.04.01 02:17:29.052,,,,,,,174.3270416,,,,,,,,,,,,
2020.04.01 02:17:45.062,,,,,,,,,,,,691.1514893,,,,,,,
2020.04.01 02:17:57.038,,,,,174.4364624,,,,,,,,,,,,,,
2020.04.01 02:19:42.058,,,,,,,,,,,,,,170.3485718,,,,,
2020.04.01 02:21:15.058,,,,,,,,,,,,,,,,,,100.6483154,
2020.04.01 02:21:47.064,,,,,,,,,,,,,691.8063965,,,,,,
2020.04.01 02:22:28.059,,,,,,,,,,698.8651123,,,,,,,,,
2020.04.01 02:24:58.054,,,,,,,,,,,,,,,,,,,169.41362
2020.04.01 02:27:07.020,,,,,,174.1380768,,,,,,,,,,,,,
2020.04.01 02:28:20.048,,,,,,,,,,,,,,170.2789459,,,,,
2020.04.01 02:29:47.038,,,,,,,174.3071594,,,,,,,,,,,,
2020.04.01 02:29:55.063,,,,,,,,,,699.0106201,,,,,,,,,
2020.04.01 02:32:49.058,,,,,,,,,,,,,,,,,,100.6302261,
2020.04.01 02:34:15.054,,,,,,,,,,,,,,,,,,,169.4434662
2020.04.01 02:35:39.066,,,,,,,,,,,,,,170.1894226,,,,,
2020.04.01 02:37:40.069,,,,,,,,,,698.8651123,,,,,,,,,
2020.04.01 02:38:41.065,2.099999905,,,,,,,,,,,,,,,,,,
2020.04.01 02:42:04.070,,,,,,,,,,,,,,,,,,100.6483154,
2020.04.01 02:43:37.074,,,,,174.4165649,,,,,,,,,,,,,,
2020.04.01 02:44:10.072,2.200000048,,,,,,,,,,,,,,,,,,
2020.04.01 02:44:32.083,,,,,,,,,,,,,,170.338623,,,,,
2020.04.01 02:45:43.069,,,,,,,,,,,,,,,,,,,169.4931946
2020.04.01 02:46:24.077,,,,,,,174.287262,,,,,,,,,,,,
2020.04.01 02:46:36.081,,,,,,,,,,,,,,170.4878082,,,,,
2020.04.01 02:47:11.048,2.299999952,,,,,,,,,,,,,,,,,,
2020.04.01 02:47:56.080,,,,,,,,,,699.0106201,,,,,,,,,
2020.04.01 02:49:35.083,,,,,,,,,,,685.4025879,,,,,,,,
2020.04.01 02:50:41.084,,,,,,,,,,,,,,,,,,100.6302261,
2020.04.01 02:52:33.089,,,,,,174.1082306,,,,,,,,,,,,,
2020.04.01 02:52:37.082,,,,,,,,,,,,,,,,,,,169.542923
2020.04.01 02:53:41.087,2.200000048,,,,,,,,,,,,,,,,,,
2020.04.01 02:54:13.083,,,,,,,,,,698.8651123,,,,,,,,,
2020.04.01 02:56:58.093,,,,,,,,,,,,,,170.3883514,,,,,
2020.04.01 02:59:58.094,,,,,,,,,,,,,,170.2789459,,,,,
2020.04.01 03:00:07.082,,,,,,,,,,,685.5482178,,,,,,,,
2020.04.01 03:01:00.087,,,,,,,,,,,,691.2242432,,,,,,,
2020.04.01 03:01:06.085,,,,,,,,,659.0599365,,,,,,,,,,
2020.04.01 03:03:41.009,2.299999952,,,,,,,,,,,,,,,,,,
2020.04.01 03:04:59.011,,,,,,,,,,,685.4025879,,,,,,,,
2020.04.01 03:05:33.011,,,,,,,,,,,,,,,,,,100.6483154,
2020.04.01 03:06:07.091,,,,,,,174.2773132,,,,,,,,,,,,
2020.04.01 03:06:50.016,,,,,174.4066162,,,,,,,,,,,,,,
2020.04.01 03:07:01.004,,,,,,,,,,699.0106201,,,,,,,,,
2020.04.01 03:07:11.067,2.200000048,,,,,,,,,,,,,,,,,,169.5926514
2020.04.01 03:09:31.019,,,,,,,,,,,,,,170.2292175,,,,,
2020.04.01 03:11:57.012,,,,,,,,,,,,,,,,,,100.6302261,
2020.04.01 03:12:44.014,,,,,,,,,,,,691.1514893,,,,,,,
2020.04.01 03:13:27.019,,,,,,,,,,698.8651123,,,,,,,,,
2020.04.01 03:15:01.016,,,,,,,,,,,,,,170.1595917,,,,,
2020.04.01 03:19:10.030,2.099999905,,,,,,,,,,,,,,,,,,
2020.04.01 03:19:51.028,,,,,,,,,,,,,,170.0601349,,,,,
2020.04.01 03:20:03.024,,,,,174.3867188,,,,,,,,,,,,,,
2020.04.01 03:20:22.018,,,,,,,174.2673645,,,,,,,,,,,,
2020.04.01 03:20:48.035,,,,,,,,,,,,,,,,,,,169.6324463
2020.04.01 03:23:25.033,,,,,,,,,,699.0106201,,,,,,,,,
2020.04.01 03:25:40.015,2.200000048,,,,,,,,,,,,,,,,,,
2020.04.01 03:26:55.036,,,,,,,,,,,,,,,,,,100.6555481,
2020.04.01 03:27:58.021,,,,,,,,,,,,,,170.1098633,,,,,
2020.04.01 03:29:41.039,2.299999952,,,,,,,,,,,,,,,,,,
2020.04.01 03:30:20.032,,,,,,174.0783997,,,,,,,,,,,,,
2020.04.01 03:30:45.024,,,,,,,,,,,,,,,,,,,169.6821747
2020.04.01 03:31:00.036,,,,,,,,,,,,,,,,,,100.6302261,
2020.04.01 03:31:01.036,,,,,,,,,,,,,691.7336426,,,,,,
2020.04.01 03:31:13.035,,,,,,,,,,698.8651123,,,,,,,,,
2020.04.01 03:33:10.027,,,,,,,174.2275848,,,,,,,170.1595917,,,,,
2020.04.01 03:33:41.027,2.200000048,,,,,,,,,,,,,,,,,,
2020.04.01 03:38:16.049,,,,,,,,,,,,,,170.2789459,,,,,
2020.04.01 03:38:58.034,,,,,174.3767853,,,,,,,,,,,,,,
2020.04.01 03:41:36.056,,,,,,,,,,,,,,,,,,,169.7319031
2020.04.01 03:44:19.059,,,,,,,,,,,,691.2242432,,,,,,,
2020.04.01 03:45:04.049,,,,,,,,,,699.0106201,,,,,,,,,
2020.04.01 03:45:52.053,,,,,,,,,,,,,,,,,,100.6483154,
2020.04.01 03:46:34.057,,,,,,,174.2375336,,,,,,,,,,,,
2020.04.01 03:47:52.057,,,,,,,,,,,,,,170.1794891,,,,,
2020.04.01 03:50:31.059,,,,,,,,,,,,,,170.0899658,,,,,
2020.04.01 03:51:24.064,,,,,,,,,,,,,,,,,,,169.7617493
2020.04.01 03:51:57.067,,,,,,,,,,,,,,,,,,100.6302261,
2020.04.01 03:52:10.052,2.099999905,,,,,,,,,,,,,,,,,,
2020.04.01 03:52:39.060,,,,,,,,,,698.8651123,,,,,,,,,
2020.04.01 03:54:01.056,,,,,,,,,,,,,,170.0103912,,,,,
2020.04.01 03:54:03.070,,,,,,,,,,,,691.1514893,,,,,,,
2020.04.01 03:54:18.081,,,,,174.3668365,,,,,,,,,,,,,,
2020.04.01 03:56:44.071,,,,,,,,,,,,,,169.8811035,,,,,
2020.04.01 03:57:11.069,2,,,,,,,,,,,,,,,,,,
2020.04.01 04:00:04.071,,,,,,,,,,,,,,169.8015289,,,,,
2020.04.01 04:00:09.071,,,,,,,,,,699.0106201,,,,,,,,,
2020.04.01 04:02:18.091,,,,,,,,,,,,,,,,,,,169.7915802
2020.04.01 04:03:11.075,,,,,,174.0684509,,,,,,,,,,,,,
2020.04.01 04:03:56.075,,,,,,,,,,,,,,169.6921234,,,,,
2020.04.01 04:05:13.076,,,,,,,174.2275848,,,,,,,,,,,,
2020.04.01 04:05:43.079,,,,,,,,,,698.8651123,,,,,,,,,
2020.04.01 04:06:04.077,,,,,,,,,,,,,,,,,,100.6446991,
2020.04.01 04:07:27.086,,,,,,,,,,,,,,169.6324463,,,,,
2020.04.01 04:07:40.072,,,,,,,,,658.9871826,,,,,,,,,,
2020.04.01 04:07:41.089,2.099999905,,,,,,,,,,,,,,,,,,
2020.04.01 04:09:50.089,,,,,174.3171082,,,,,,,,,,,,,,
2020.04.01 04:11:25.075,,,,,,,,,,,,,,169.5827179,,,,,
